ID,Name,Equipment,BodyPart,Target,Synergist,URL
0190,Cable One Arm Curl,Cable,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0191,Cable One Arm Lateral Bent-over,Cable,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head"
0192,Cable One Arm Lateral Raise,Cable,Shoulders,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior"
0193,Cable One Arm Straight Back High Row (kneeling),Cable,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0194,Cable Overhead Triceps Extension (rope attachment),Cable,Upper Arms,Triceps Brachii,
0195,Cable Preacher Curl,Cable,Upper Arms,Brachialis,"Biceps Brachii, Brachioradialis"
0196,Cable Pull Through (with rope),Cable,Hips,Gluteus Maximus,"Erector Spinae, Hamstrings"
0197,Cable Pulldown (pro lat bar),Cable,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0198,Cable Pulldown,Cable,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0199,Cable Pushdown (straight arm) (version 2),Cable,Back,Latissimus Dorsi,"Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0200,Cable Pushdown (with rope attachment),Cable,Upper Arms,Triceps Brachii,
0201,Cable Pushdown,Cable,Upper Arms,Triceps Brachii,
0202,Cable Rear Delt Row (stirrups),Cable,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0203,Cable Rear Delt Row (with rope),Cable,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
